setting,task,model,accuracy,macro_f1,balanced_accuracy,risk_f1,non_risk_precision,non_risk_recall,risk_precision,risk_recall,non_risk_support,risk_support,roc_auc,pr_auc
event_aware_diagnostic,multiclass,RandomForest_v2,0.9715335169880625,0.884785713473523,,,,,,,,,,
event_aware_diagnostic,multiclass,ExtraTrees_v2,0.9641873278236914,0.8524247188442888,,,,,,,,,,
event_aware_diagnostic,multiclass,HistGradientBoosting_v2,0.9742883379247016,0.8852468077245865,,,,,,,,,,
event_aware_diagnostic,multiclass,MLP_v2,0.9742883379247016,0.9011099183114671,,,,,,,,,,
event_aware_diagnostic,multiclass,GRU_dynamic_sequence_v4,0.8288621646623496,0.6136642693233422,,,,,,,,,,
event_aware_diagnostic,binary_risk,RF_binary_risk,0.9889807162534435,0.9859313231532438,0.9797979797979798,0.979381443298969,0.9850746268656716,1.0,1.0,0.9595959595959596,792.0,297.0,0.9999744923987347,0.9999329181994688
event_aware_diagnostic,binary_risk,ExtraTrees_binary_risk,0.9963269054178145,0.9953507236476967,0.9932659932659933,0.9932203389830508,0.9949748743718593,1.0,1.0,0.9865319865319865,792.0,297.0,0.9993835663027584,0.9986115754852875
event_aware_diagnostic,binary_risk,MLP_binary_risk,0.9917355371900827,0.9895723503971146,0.989057239057239,0.984822934232715,0.9936948297604036,0.9949494949494949,0.9864864864864865,0.9831649831649831,792.0,297.0,0.995816753392511,0.9954962213460874
event_aware_diagnostic,multiclass,TopologyGCN_baseline,0.9540863177226814,0.8733397826411398,,,,,,,,,,
event_aware_diagnostic,multiclass,TopologyGGNN_baseline,0.9614325068870524,0.8792182040645754,,,,,,,,,,
event_aware_diagnostic,multiclass,TopologyGAT_baseline,0.9494949494949495,0.8720297911299608,,,,,,,,,,
event_aware_diagnostic,multiclass,TopologyGraphSAGE_baseline,0.9623507805325987,0.8777808517430028,,,,,,,,,,
event_aware_diagnostic,binary_risk,TopologyGCN_baseline,0.9935720844811754,0.9919066552710787,,,,,,,,,,
event_aware_diagnostic,binary_risk,TopologyGGNN_baseline,0.9954086317722681,0.9942068613317303,,,,,,,,,,
event_aware_diagnostic,binary_risk,TopologyGAT_baseline,0.9944903581267218,0.9930555555555556,,,,,,,,,,
event_aware_diagnostic,binary_risk,TopologyGraphSAGE_baseline,0.9935720844811754,0.9919066552710787,,,,,,,,,,
